	022um-Control	20210602-MA-ABB1F	20210602-MA-ABB1P	20210602-MA-ABB1W	20210602-MA-ABS1F	20210602-MA-ABS1P	20210602-MA-ABS1W	20210602-MA-CEB1F	20210602-MA-CEB1P	20210602-MA-CEB1W	20210602-MA-CES1F	20210602-MA-CES1P	20210602-MA-CES1W	20210602-MA-CWB1F	20210602-MA-CWB1P	20210602-MA-CWB1W	20210602-MA-CWS1F	20210602-MA-CWS1P	20210602-MA-CWS1W	20210602-MA-MBB1F	20210602-MA-MBB1P	20210602-MA-MBB1W	20210602-MA-MBS1F	20210602-MA-MBS1P	20210602-MA-MBS1W	20210602-MA-SCB1F	20210602-MA-SCB1P	20210602-MA-SCB1W	20210602-MA-SCS1F	20210602-MA-SCS1P	20210602-MA-SCS1W	20210615-MA-ABB2F	20210615-MA-ABB2P	20210615-MA-ABB2W	20210615-MA-ABS1F	20210615-MA-ABS1P	20210615-MA-ABS1W	20210615-MA-CEB1F	20210615-MA-CEB1P	20210615-MA-CEB1W	20210615-MA-CES1F	20210615-MA-CES1P	20210615-MA-CES1W	20210615-MA-CWB1F	20210615-MA-CWB1P	20210615-MA-CWB1W	20210615-MA-CWS1F	20210615-MA-CWS1P	20210615-MA-CWS1W	20210615-MA-MBB1F	20210615-MA-MBB1P	20210615-MA-MBB1W	20210615-MA-MBS1F	20210615-MA-MBS1P	20210615-MA-MBS1W	20210615-MA-SCB2F	20210615-MA-SCB2P	20210615-MA-SCB2W	20210615-MA-SCS2F	20210615-MA-SCS2P	20210615-MA-SCS2W	20211005-MA-ABB2F	20211005-MA-ABB2P	20211005-MA-ABB2W	20211005-MA-ABS1F	20211005-MA-ABS1P	20211005-MA-ABS1W	20211005-MA-CEB1F	20211005-MA-CEB1P	20211005-MA-CEB1W	20211005-MA-CES2F	20211005-MA-CES2P	20211005-MA-CES2W	20211005-MA-CWB1F	20211005-MA-CWB1P	20211005-MA-CWB1W	20211005-MA-CWS1F	20211005-MA-CWS1P	20211005-MA-CWS1W	20211005-MA-MBB1F	20211005-MA-MBB1P	20211005-MA-MBB1W	20211005-MA-MBS1F	20211005-MA-MBS1P	20211005-MA-MBS1W	20211005-MA-SCB1F	20211005-MA-SCB1P	20211005-MA-SCB1W	20211005-MA-SCS2F	20211005-MA-SCS2P	20211005-MA-SCS2W	3um-Control	CJ-V08-P	DNA-Ext-Control	MockZymoPos	WaterControl
ASV_21	0	72	73	121	71	53	117	89	130	102	43	0	64	24	28	48	14	0	6	118	40	89	87	73	97	41	16	41	57	19	35	0	0	98	48	33	42	31	19	45	39	0	25	14	14	0	0	0	15	129	70	92	82	61	87	0	25	69	43	23	39	41	0	44	47	0	32	34	0	43	22	0	0	0	0	0	0	0	7	77	38	92	57	26	57	135	60	36	109	30	117	0	0	0	0	0
ASV_22	0	0	25	0	0	48	39	0	0	0	0	836	119	0	767	745	12	429	148	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	82	0	0	21	0	0	19	0	0	0	0	0	74	0	0	0	0	0	141	0	0	79	8	0	52	0	0	52	0	0	18	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0
ASV_23	0	48	16	42	33	25	37	68	0	52	45	10	38	40	49	77	25	15	0	54	17	34	76	8	47	0	0	0	0	0	0	44	13	67	58	31	52	112	67	131	151	57	107	136	151	89	158	104	126	95	45	60	81	56	92	0	0	0	0	0	0	58	20	56	49	0	73	30	33	50	104	31	73	28	0	32	37	0	0	61	35	66	49	23	65	0	0	15	0	0	0	0	0	0	0	0
ASV_24	0	107	75	127	78	51	94	93	0	144	93	11	53	22	40	47	0	0	0	146	39	95	128	74	116	31	37	52	49	28	39	0	14	98	70	43	79	62	28	63	59	23	43	17	23	23	29	15	20	44	31	64	32	37	44	0	0	0	0	0	0	45	9	63	62	0	51	73	40	54	51	13	40	0	0	0	0	0	0	61	25	60	36	18	33	14	0	36	17	0	12	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	16	0	0	41	17	57	27	51	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	24	42	54	47	33	0	37	100	237	159	69	56	82	16	0	11	0	0	18	0	0	0	0	0	0	73	114	104	83	75	101	62	67	47	240	304	209	100	138	136	149	78	88	22	40	66	32	20	22	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	27	17	57	29	0	44	24	70	36	0	0	8	0	0	0	0	0	0	77	17	33	77	22	55	177	67	156	226	41	91	0	9	90	43	20	36	24	15	35	0	0	25	0	0	0	0	0	0	46	26	37	32	22	45	0	20	82	67	50	88	41	0	56	28	0	41	57	54	64	10	0	10	0	0	0	0	0	0	113	29	133	61	27	102	98	44	0	52	13	74	0	0	0	0	0
ASV_27	0	36	37	63	34	48	54	42	100	26	55	31	41	0	0	17	0	0	0	91	84	52	93	76	67	43	33	40	78	124	55	0	40	54	27	40	17	27	0	0	0	0	0	0	0	0	0	0	0	60	59	66	47	67	80	0	64	0	0	0	0	24	42	35	31	14	29	37	44	30	0	0	0	0	0	0	0	0	0	0	28	15	0	14	15	70	152	0	71	174	82	0	40	0	0	0
ASV_28	0	0	18	0	0	22	27	11	0	50	0	0	0	0	0	0	0	0	0	13	22	0	12	0	0	0	65	0	61	66	32	0	24	0	0	7	0	14	0	13	0	0	0	0	10	0	0	0	0	7	22	0	12	38	16	0	0	0	0	0	0	0	46	0	0	24	0	0	29	24	14	0	0	209	85	136	617	332	207	0	25	0	14	0	0	0	0	219	0	92	0	0	272	0	0	0
ASV_29	0	101	70	124	94	69	100	64	38	84	75	10	57	0	23	0	0	0	0	54	16	36	55	12	29	77	25	74	96	23	43	0	0	78	51	14	50	0	0	0	0	0	0	0	11	0	20	0	13	0	0	0	0	0	0	0	10	13	12	0	20	29	13	30	33	0	36	50	32	49	27	20	32	0	0	0	0	0	0	47	30	45	44	21	34	54	26	0	34	31	44	0	0	0	0	0
ASV_30	0	0	0	9	0	19	0	0	175	0	0	0	0	0	0	0	0	0	0	27	31	0	21	0	11	57	28	46	95	88	58	0	0	25	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	86	79	0	95	44	0	50	42	0	51	38	57	37	0	0	0	0	0	0	0	0	0	40	45	39	36	0	36	194	159	0	195	24	155	0	20	0	0	0
